,time,text,user_name,user_location,retweet_cnt,favorite_cnt,hashtags,user_mentions,is_retweet
442,2021-03-08 08:28:16,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/jiGG1cr7DD,ishq1057,Manchester Township NJ,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
443,2021-03-08 07:41:13,RT @austinjock19: Sexy college football jock bro: underarmour or full pads? https://t.co/NQzehVGiKm,zx0972420861,台灣屏東,59,0,[],['austinjock19'],True
444,2021-03-08 07:29:19,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/ZMWHCzVtcV,Eydie_Ship,Rochester NY,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
445,2021-03-08 07:28:20,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/wMOSpPJTaq,Glori99431009,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
446,2021-03-08 07:28:18,"RT @ECSsports: @EcsField competes in the @CSNSeahawks @UnderArmour Invitational today. After the field events, @earnestMgraham placed 2nd i…",EcsField,"Fort Myers, FL",2,0,[],"['ECSsports', 'EcsField', 'CSNSeahawks', 'UnderArmour', 'earnestMgraham']",True
447,2021-03-08 07:28:04,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/nzt0YOmJKH,lovebecca,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
448,2021-03-08 07:20:29,"#Underarmour 
Under Armour Men's Lockdown 5 Basketball Shoe
👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇
https://t.co/uA9ZkKin4W https://t.co/qwv7shoaFu",TigerTamz,ANYWHERE,0,0,['Underarmour'],[],False
449,2021-03-08 07:13:27,"RT @gelsey_jamaal: 6'2 178lbs 14 yr old 8th grader with great size and great ball skills
Tae'shaun Gelsey 
@BurchSportsBSP @9FiguresCEO @Ba…",RobertSimmons__,Jacksonville Duval ,4,0,[],"['gelsey_jamaal', 'BurchSportsBSP', '9FiguresCEO']",True
450,2021-03-08 07:12:58,"6'2 178lbs 14 yr old 8th grader with great size and great ball skills
Tae'shaun Gelsey 
@BurchSportsBSP… https://t.co/bEd5i12pwN",gelsey_jamaal,,4,15,[],['BurchSportsBSP'],False
451,2021-03-08 07:08:34,@shano_1012 @ShiningArcs @UnderArmour I missed you! Mesmerize them!,masataka12,,0,1,[],"['shano_1012', 'ShiningArcs', 'UnderArmour']",False
452,2021-03-08 06:59:02,RT @austinjock19: Sexy college football jock bro: underarmour or full pads? https://t.co/NQzehVGiKm,football_majin,埼玉県,59,0,[],['austinjock19'],True
453,2021-03-08 06:40:03,RT @SneakerScouts: #ad The Curry 8 'Black History Month' is now available via @FinishLine for $145! (use code MARCHSWAGNESS - retail $160)…,HUsBadGuys,,1,0,['ad'],"['SneakerScouts', 'FinishLine']",True
454,2021-03-08 06:29:37,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/22K1xBo0bB,mgraves1234,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
455,2021-03-08 06:29:00,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @EckoUNLTD12 #poshmark #fashion… https://t.co/cssOo8B1d8,EckoUNLTD12,"Sacramento, CA",0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'EckoUNLTD12']",False
456,2021-03-08 06:28:29,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/lrw2IMmS0b,jennrealern,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
457,2021-03-08 06:01:59,@UnderArmour I mean just watch the film am I too young to be sponsored?🤫 https://t.co/9uAleh6pGr,SperleArmani,,0,0,[],['UnderArmour'],False
458,2021-03-08 06:01:20,@FOX10Phoenix @bathbodyworks employees should be sponsored by @UnderArmour @RexChapman @TheRock https://t.co/MM9qZ7lWQX,EvilDevilInside,United States,0,1,[],"['FOX10Phoenix', 'bathbodyworks', 'UnderArmour', 'RexChapman', 'TheRock']",False
459,2021-03-08 06:00:51,@WarriorNationCP Show some support for your feet on the line . Buy those kicks while he's on the ground my fans ...… https://t.co/sNd64Z00aB,regxenerationz,"Salinas, CA",0,0,[],['WarriorNationCP'],False
460,2021-03-08 05:59:54,@barstoolsports @bathbodyworks employees should be sponsored by @UnderArmour @RexChapman @TheRock https://t.co/UUjQZCW1iT,EvilDevilInside,United States,0,0,[],"['barstoolsports', 'bathbodyworks', 'UnderArmour', 'RexChapman', 'TheRock']",False
461,2021-03-08 05:29:47,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/r0OhsrUmTz,DianaClemmons2,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
462,2021-03-08 05:28:14,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @JuanitaMajano #poshmark #fashion… https://t.co/uWv1yakd7y,k_puschmann,,0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'JuanitaMajano']",False
463,2021-03-08 05:28:06,"RT @FaydeEurope: Exercise and Keep Fit. Under Armour Face Mask Cover 3 Layer Washable Breathable, Gym Workout Sports Buy Now - https://t.co…",AdvisorySmith,Porthcawl,5,0,[],['FaydeEurope'],True
464,2021-03-08 05:27:37,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Andja73 #poshmark #fashion #style… https://t.co/an9n7lBQsb,jillianh0212,,0,0,"['poshmark', 'fashion', 'style']","['Poshmarkapp', 'Andja73']",False
465,2021-03-08 05:27:22,"RT @FaydeEurope: Exercise and Keep Fit. Under Armour Face Mask Cover 3 Layer Washable Breathable, Gym Workout Sports Buy Now - https://t.co…",FaydeSports,United Kingdom,5,0,[],['FaydeEurope'],True
466,2021-03-08 05:25:55,"RT @FaydeEurope: Exercise and Keep Fit. Under Armour Face Mask Cover 3 Layer Washable Breathable, Gym Workout Sports Buy Now - https://t.co…",VaughnFayde,United Kingdom,5,0,[],['FaydeEurope'],True
467,2021-03-08 05:25:13,"RT @FaydeEurope: Exercise and Keep Fit. Under Armour Face Mask Cover 3 Layer Washable Breathable, Gym Workout Sports Buy Now - https://t.co…",FaydeEurope,United Kingdom,5,0,[],['FaydeEurope'],True
468,2021-03-08 04:50:02,#ad The Curry 8 'Black History Month' is now available via @FinishLine for $145! (use code MARCHSWAGNESS - retail $… https://t.co/V9UmHTh6hK,SneakerScouts,,1,1,['ad'],['FinishLine'],False
469,2021-03-08 04:47:26,"RT @TheKitmanUK: Checkout this 2013-14 Tottenham Hotspur Away Shirt (M)!
#2013-14 #COYS #Spurs #THFC #Tottenham #UnderArmour 
Buy Now https…",AlertsHotspur,,2,0,"['COYS', 'Spurs', 'THFC', 'Tottenham', 'UnderArmour']",['TheKitmanUK'],True
470,2021-03-08 04:43:56,"Checkout this 2013-14 Tottenham Hotspur Away Shirt (M)!
#2013-14 #COYS #Spurs #THFC #Tottenham #UnderArmour 
Buy No… https://t.co/lmcPs0RVyA",TheKitmanUK,"Bristol, England",2,2,"['COYS', 'Spurs', 'THFC', 'Tottenham', 'UnderArmour']",[],False
